Source,Target
0,2
0,1
1,0
2,1
2,0
3,4
4,3
7,8
8,7
9,10
10,9
11,12
12,11
13,37
13,26
14,15
15,14
16,13
16,29
17,16
18,17
19,20
20,19
21,22
22,21
24,23
25,47
26,1
26,52
27,28
30,18
31,30
32,39
33,45
33,65
38,36
39,25
39,32
41,40
43,42
44,18
46,61
46,44
47,39
48,46
50,116
50,115
52,2
52,26
53,50
54,55
55,2
56,191
56,187
56,61
56,168
57,103
57,94
58,51
61,60
62,59
63,4
64,66
65,45
67,114
67,113
70,0
72,13
73,95
73,41
74,171
74,48
74,194
75,54
76,7
76,87
77,76
80,79
81,82
82,81
84,129
85,173
85,196
86,248
86,251
87,7
88,92
89,119
89,229
90,6
92,88
93,104
94,158
94,325
94,309
94,383
94,108
94,217
96,93
97,277
97,131
97,198
98,63
99,98
100,105
101,170
101,149
103,112
103,57
105,100
106,109
108,158
108,217
110,160
110,362
110,293
111,63
112,111
113,67
114,67
115,49
116,80
117,159
118,265
118,53
119,75
119,206
120,121
121,75
122,102
123,127
124,121
124,120
125,18
126,174
126,333
126,428
126,320
126,74
126,182
128,9
129,128
130,150
130,62
130,122
131,226
131,223
132,135
133,84
133,18
135,132
136,192
136,281
136,125
138,139
138,237
139,138
140,188
140,219
141,176
141,190
142,133
142,49
144,57
144,74
144,297
144,210
145,147
148,19
149,101
150,122
151,18
152,221
153,5
154,317
155,203
156,48
157,56
158,608
158,107
158,108
158,593
160,148
162,161
163,162
164,1023
164,1234
164,842
164,693
164,169
164,928
164,930
164,1208
164,781
164,474
164,346
164,56
164,311
165,112
165,31
165,239
167,14
168,56
169,224
169,571
169,399
169,425
169,361
170,101
171,724
171,660
171,437
171,451
171,165
171,247
171,802
172,167
173,150
173,367
173,130
174,452
174,345
174,192
174,53
174,339
174,308
174,74
174,687
174,144
175,31
176,141
177,227
177,236
178,283
178,344
179,177
180,249
180,160
180,207
181,586
181,57
181,152
181,284
181,48
181,194
182,271
182,53
183,345
183,53
183,284
183,575
183,416
183,48
183,782
183,210
184,48
185,459
185,456
185,495
185,636
185,757
185,645
185,720
186,7
188,185
189,397
189,616
190,104
190,18
191,56
192,118
192,125
192,196
192,53
192,74
192,136
193,56
194,193
196,74
196,53
197,163
198,131
199,200
200,5
201,204
202,58
203,202
204,201
207,39
207,180
207,110
209,153
210,260
210,57
211,261
211,178
213,212
214,733
214,139
214,352
214,719
214,64
215,326
216,23
217,110
218,215
219,140
219,439
220,298
220,77
222,228
223,180
224,125
224,238
224,349
224,136
226,110
226,353
227,159
229,107
229,89
231,218
232,259
232,183
232,126
232,393
232,369
232,308
233,225
234,233
235,278
235,301
236,117
236,266
236,227
237,75
238,259
238,333
238,196
238,971
238,787
238,980
238,136
240,310
240,270
240,901
240,530
240,189
240,370
240,832
241,122
241,518
241,130
241,494
242,288
243,458
245,102
245,338
245,368
245,376
246,725
246,460
246,957
246,731
246,857
246,74
246,391
248,84
248,86
248,251
249,654
250,889
250,445
250,750
250,634
250,274
250,803
251,104
252,86
253,199
254,174
254,183
254,345
254,53
254,182
255,175
255,542
255,504
255,652
256,311
256,765
256,693
256,1028
256,811
256,189
256,886
256,923
257,559
257,485
257,471
257,296
257,322
258,259
258,174
258,675
258,711
258,126
258,232
258,181
258,409
258,904
258,910
258,436
258,418
259,183
259,53
259,181
259,144
259,156
259,1091
260,61
261,211
262,130
262,639
262,150
262,653
264,250
265,421
265,53
267,329
267,303
268,120
269,850
269,633
270,310
270,374
270,189
270,370
271,171
271,172
272,269
273,272
275,373
275,97
276,179
278,91
279,443
279,327
280,54
281,125
281,53
281,759
282,197
284,152
284,27
284,1278
286,551
286,562
286,393
286,173
286,50
288,396
288,242
289,357
290,253
291,350
292,31
293,110
294,48
294,380
295,291
297,243
298,77
299,315
299,97
300,308
300,534
301,42
303,235
303,489
304,268
305,518
305,30
305,130
305,150
306,51
308,48
309,158
309,684
310,313
310,181
311,1925
311,888
311,169
311,679
311,479
311,1169
311,871
311,864
311,337
311,1320
312,1013
312,180
312,207
312,468
