id,category
0,2
1,4
2,4
3,2
4,3
5,2
6,0
7,1
8,1
9,4
10,4
11,0
12,1
13,0
14,3
15,3
16,0
17,2
18,3
19,4
20,1
21,3
22,4
23,2
24,4
25,0
26,1
27,4
28,3
29,3
30,1
31,4
32,3
33,1
34,4
35,0
36,3
37,1
38,1
39,0
40,2
41,2
42,4
43,0
44,3
45,2
46,2
47,2
48,0
49,1
50,1
51,3
52,1
53,4
54,1
55,3
56,1
57,2
58,0
59,2
60,4
61,0
62,3
63,3
64,4
65,1
66,0
67,3
68,4
69,3
70,0
71,3
72,4
73,2
74,0
75,4
76,1
77,3
78,0
79,3
80,1
81,4
82,1
83,2
84,3
85,3
86,1
87,3
88,0
89,3
90,0
91,0
92,4
93,0
94,0
95,3
96,3
97,4
98,3
99,0
100,1
101,4
102,2
103,3
104,1
105,3
106,0
107,0
108,4
109,0
110,0
111,1
112,1
113,3
114,1
115,4
116,2
117,2
118,0
119,1
120,2
121,4
122,4
123,1
124,3
125,3
126,0
127,3
128,2
129,1
130,1
131,2
132,3
133,0
134,2
135,2
136,0
137,0
138,0
139,2
140,1
141,4
142,4
143,1
144,3
145,2
146,4
147,3
148,4
149,3
150,0
151,1
152,4
153,4
154,4
155,0
156,2
157,1
158,0
159,3
160,3
161,1
162,3
163,0
164,3
165,1
166,4
167,2
168,4
169,1
170,4
171,2
172,4
173,3
174,4
175,1
176,1
177,1
178,3
179,3
180,2
181,1
182,3
183,1
184,4
185,2
186,0
187,0
188,2
189,1
190,2
191,3
192,4
193,4
194,4
195,0
196,0
197,4
198,4
199,0
200,1
201,4
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,4
210,1
211,3
212,2
213,1
214,1
215,0
216,4
217,3
218,4
219,4
220,1
221,4
222,0
223,0
224,3
225,3
226,1
227,0
228,2
229,1
230,2
231,4
232,2
233,1
234,3
235,2
236,3
237,2
238,2
239,1
240,1
241,3
242,3
243,3
244,3
245,2
246,0
247,2
248,1
249,0
250,4
251,1
252,1
253,3
254,0
255,1
256,4
257,2
258,2
259,1
260,4
261,4
262,2
263,1
264,1
265,3
266,0
267,4
268,2
269,3
270,3
271,1
272,2
273,3
274,3
275,1
276,1
277,4
278,3
279,0
280,3
281,0
282,4
283,1
284,4
285,1
286,3
287,2
288,1
289,3
290,1
291,2
292,3
293,0
294,1
295,3
296,1
297,4
298,4
299,4
300,4
301,3
302,1
303,4
304,1
305,2
306,1
307,4
308,3
309,2
310,4
311,3
312,0
313,1
314,4
315,1
316,2
317,3
318,4
319,1
320,4
321,1
322,1
323,4
324,0
325,4
326,1
327,4
328,2
329,3
330,1
331,0
332,4
333,3
334,0
335,0
336,4
337,4
338,2
339,1
340,0
341,1
342,3
343,4
344,4
345,4
346,4
347,3
348,3
349,2
350,2
351,0
352,1
353,0
354,3
355,1
356,0
357,4
358,2
359,0
360,2
361,1
362,3
363,4
364,3
365,3
366,4
367,0
368,0
369,2
370,4
371,1
372,0
373,2
374,4
375,1
376,0
377,0
378,0
379,1
380,2
381,2
382,2
383,2
384,2
385,4
386,2
387,2
388,3
389,3
390,3
391,0
392,3
393,1
394,2
395,2
396,0
397,0
398,0
399,1
400,0
401,1
402,2
403,1
404,1
405,2
406,1
407,0
408,2
409,1
410,1
411,2
412,0
413,3
414,2
415,3
416,1
417,0
418,1
419,1
420,4
421,3
422,2
423,4
424,2
425,3
426,2
427,3
428,1
429,4
430,1
431,4
432,2
433,2
434,1
435,1
436,0
437,4
438,3
439,3
440,1
441,2
442,1
443,4
444,2
445,4
446,4
447,2
448,4
449,4
450,3
451,4
452,3
453,2
454,2
455,0
456,2
457,2
458,2
459,2
460,0
461,0
462,4
463,0
464,2
465,0
466,0
467,3
468,0
469,4
470,3
471,2
472,2
473,0
474,0
475,2
476,0
477,0
478,1
479,3
480,3
481,2
482,3
483,1
484,1
485,0
486,2
487,1
488,2
489,0
490,4
491,0
492,3
493,0
494,4
495,1
496,4
497,3
498,4
499,4
500,0
501,4
502,2
503,2
504,4
505,1
506,1
507,2
508,1
509,3
510,2
511,2
512,2
513,3
514,2
515,4
516,1
517,3
518,1
519,4
520,2
521,3
522,0
523,3
524,3
525,1
526,4
527,4
528,2
529,1
530,1
531,1
532,4
533,0
534,1
535,0
536,3
537,3
538,3
539,4
540,1
541,0
542,3
543,3
544,3
545,2
546,0
547,1
548,1
549,4
550,4
551,4
552,2
553,3
554,1
555,3
556,2
557,4
558,0
559,1
560,0
561,1
562,2
563,4
564,3
565,1
566,4
567,1
568,0
569,1
570,3
571,0
572,3
573,2
574,4
575,2
576,2
577,1
578,3
579,3
580,2
581,2
582,2
583,0
584,2
585,2
586,1
587,2
588,2
589,2
590,1
591,1
592,2
593,0
594,1
595,3
596,0
597,3
598,4
599,4
600,4
601,4
602,1
603,4
604,2
605,2
606,0
607,1
608,0
609,0
610,3
611,3
612,3
613,3
614,3
615,1
616,4
617,1
618,3
619,1
620,2
621,2
622,1
623,4
624,1
625,3
626,3
627,1
628,4
629,3
630,2
631,3
632,4
633,3
634,4
635,0
636,4
637,4
638,0
639,0
640,1
641,0
642,4
643,1
644,0
645,4
646,1
647,3
648,3
649,2
650,0
651,2
652,0
653,1
654,2
655,2
656,0
657,1
658,0
659,4
660,0
661,4
662,2
663,0
664,4
665,4
666,1
667,3
668,2
669,4
670,3
671,2
672,0
673,0
674,2
675,4
676,0
677,4
678,2
679,0
680,0
681,2
682,1
683,2
684,4
685,3
686,0
687,0
688,3
689,1
690,1
691,0
692,1
693,2
694,1
695,4
696,2
697,0
698,4
699,0
700,4
701,2
702,4
703,4
704,4
705,2
706,1
707,0
708,1
709,3
710,3
711,4
712,3
713,2
714,2
715,4
716,1
717,2
718,2
719,1
720,0
721,4
722,4
723,0
724,4
725,2
726,4
727,2
728,2
729,0
730,1
731,0
732,1
733,2
734,4
735,2
736,3
737,0
738,2
739,1
740,3
741,2
742,3
743,0
744,2
745,1
746,3
747,3
748,1
749,0
750,2
751,4
752,2
753,0
754,0
755,0
756,2
757,0
758,3
759,4
760,4
761,2
762,1
763,1
764,1
765,1
766,4
767,3
768,4
769,2
770,1
771,3
772,2
773,0
774,4
775,3
776,4
777,4
778,4
779,3
780,0
781,2
782,2
783,2
784,3
785,4
786,1
787,4
788,3
789,0
790,1
791,4
792,1
793,3
794,1
795,1
796,3
797,3
798,1
799,0
800,2
801,0
802,1
803,0
804,4
805,3
806,1
807,0
808,1
809,4
810,3
811,2
812,1
813,3
814,3
815,4
816,0
817,2
818,3
819,1
820,0
821,4
822,2
823,2
824,1
825,1
826,2
827,0
828,0
829,1
830,2
831,2
832,1
833,4
834,4
835,3
836,4
837,2
838,0
839,0
840,4
841,1
842,4
843,3
844,1
845,2
846,1
847,1
848,0
849,1
850,1
851,3
852,4
853,2
854,3
855,2
856,0
857,4
858,2
859,0
860,2
861,2
862,4
863,4
864,2
865,0
866,3
867,1
868,1
869,4
870,1
871,3
872,1
873,3
874,0
875,0
876,1
877,0
878,2
879,3
880,2
881,0
882,3
883,3
884,3
885,2
886,3
887,1
888,4
889,0
890,2
891,3
892,2
893,4
894,2
895,3
896,2
897,4
898,4
899,1
900,4
901,1
902,2
903,4
904,2
905,0
906,1
907,3
908,3
909,2
910,4
911,0
912,0
913,1
914,3
915,0
916,2
917,3
918,1
919,4
920,3
921,2
922,4
923,4
924,3
925,4
926,3
927,3
928,3
929,2
930,3
931,4
932,1
933,2
934,0
935,1
936,3
937,1
938,3
939,0
940,4
941,3
942,1
943,0
944,2
945,1
946,1
947,3
948,2
949,3
950,2
951,1
952,3
953,1
954,0
955,3
956,0
957,4
958,4
959,1
960,1
