source,target
221,5221
12217,207
12948,5381
10338,124
1667,16756
2345,15688
3973,5572
12952,11916
4215,14719
13711,6306
7793,15449
5128,8041
1523,14533
1800,13121
5487,11357
9091,13500
1445,10678
15772,11506
6856,12092
16331,13190
9994,16714
360,14805
3240,7091
6499,4126
16703,12015
16114,11620
3509,14863
7834,14110
15100,10295
12495,15770
262,11237
12136,376
15074,13046
4341,8011
13923,870
9771,4749
8835,7279
3892,1769
703,16083
6104,1503
9080,11247
6167,12405
8550,8049
4214,5203
4966,9002
14733,16136
12369,7902
11380,4944
10330,13788
12142,2261
4119,3653
16231,10865
195,9611
15534,4521
10331,4564
1150,4879
14233,10336
2450,12425
11259,16668
397,15195
4771,11163
12508,14103
10030,15189
235,5253
4696,11743
13490,3058
14670,3894
6192,13751
1648,10232
1314,4694
2215,15941
10983,9041
4402,3345
3025,14992
826,15493
645,16613
2894,5649
10261,2640
15120,7513
2391,4274
7086,12688
9980,11288
10651,9241
15871,9367
9883,13799
13737,8011
15314,11701
12967,9298
15924,15794
4835,6960
10184,13912
9499,6639
14709,6077
8432,6242
13640,9017
6045,10856
3354,4479
2805,5203
370,7117
4489,7262
2072,4120
3415,12302
7895,15836
12272,14519
13442,9941
8105,2814
13177,4008
9853,4134
4959,13792
13648,13981
7053,5169
9355,3857
12343,14170
4168,14202
1865,794
3220,8047
13719,13632
5493,8249
5802,16174
8763,15996
10327,10591
14167,9069
5036,1365
12009,9571
9142,9384
2370,7318
5568,15189
10411,15365
12818,9151
3379,7518
769,2261
11925,5901
13614,8304
7621,12392
13492,4177
16795,7900
2003,6743
15852,2843
3728,15219
2278,8668
6068,10035
13743,4927
9149,2045
6829,14297
3978,9917
7717,207
13278,4598
5003,13094
6862,1413
3353,10619
12680,15229
683,2113
10515,14560
2463,11050
11245,4048
10672,4186
7750,9954
10570,8605
8949,10278
3034,5389
12762,517
15666,1525
8592,11926
14970,5205
1496,8982
6470,16057
14058,5877
12879,11655
14314,3588
15675,6714
5807,15713
14668,12976
19,12097
3959,7581
845,5265
10158,10731
11970,9592
11969,14063
8022,14964
6974,10083
419,10526
14964,15189
126,8961
10194,16023
2473,4948
15275,12607
8009,9252
6020,11283
16006,4949
2630,14731
10725,10963
2836,10635
11959,1482
13151,3079
15499,13254
10069,5182
10060,9792
11380,2529
12030,16409
2089,4958
4691,2218
3818,2064
14770,14542
13944,6098
12198,6544
16551,8805
2196,16317
1193,7237
3542,853
2385,6390
15315,2183
12579,8895
4893,4954
2869,1484
5637,8081
10773,4372
13802,9024
6708,10879
12501,8423
334,13555
1120,16184
8503,5572
3083,4826
433,8838
14118,6227
13259,14639
1700,13992
16010,14651
11287,11359
8684,4829
3890,15657
7880,9730
9403,10932
16274,1865
6489,3759
6793,6614
2473,2049
6519,7543
5559,819
15015,8091
11157,16389
6926,13559
12566,3691
1408,11524
10095,14084
4037,27
12249,4014
5402,12886
4449,8831
5055,2225
1157,9404
631,1252
13172,2188
13115,1654
957,12756
10974,11959
4914,10853
11273,8054
9771,1313
3996,9236
10433,4630
8631,16845
8874,3771
15725,10294
309,2140
881,15363
13349,545
270,15209
14649,8091
13862,14127
5228,6475
4340,14149
9141,16543
3398,6284
16143,2297
11237,9686
12142,5591
4277,14739
5388,12964
6252,4704
8098,4839
10515,9701
6645,16676
6414,12579
2565,14015
12128,10796
14172,2810
11739,5359
9442,14562
14294,14292
2785,13008
4566,6332
13236,2307
13360,2373
4304,6332
12568,5591
15014,12137
1316,14486
13923,6428
15251,9606
6531,11070
13329,12859
2847,10853
15022,7302
11553,4795
15245,2621
14515,7471
4579,2780
11805,5016
12992,6269
12663,15627
10194,8131
14494,4150
16132,1892
3205,11500
15939,1497
10021,9142
10081,9193
15418,5932
6323,9027
2674,8831
6244,12144
10158,13577
9366,16795
808,10673
395,8814
9648,643
1534,2671
12175,14533
8028,12340
3031,8287
2181,16253
1403,2373
12478,921
12037,14010
14382,15586
3425,10843
4996,10773
10352,8316
4973,16239
11150,14712
15120,239
7470,2371
15889,7395
1288,16386
4138,3545
15015,14186
3167,13436
16140,1729
16174,11701
14450,6271
3035,12728
3304,5039
769,5591
5018,15608
12818,3621
10245,13707
8174,622
15094,3340
9686,5607
14729,11321
15335,13760
8186,15908
9709,6530
14643,16650
4311,5543
5040,3474
8216,5170
2473,573
12371,2528
2307,7451
5514,10712
15734,12718
6828,13992
10047,16324
9798,6952
10790,14153
11594,2836
7547,8229
16765,16841
6031,5754
13432,15161
1574,5587
10426,13876
6866,11251
689,12778
13075,11891
7440,9271
3331,13786
10017,12136
16607,3608
3661,16172
1516,12183
10043,16740
3890,16409
12856,11968
8587,12064
8005,15846
8886,4749
12810,16696
1511,15222
4753,6426
7023,16688
12705,6322
7470,15687
9457,8887
3942,15229
2855,8730
6978,9748
4913,16857
8702,6510
7033,3039
10376,7881
9896,74
12972,10988
4579,2459
13669,3746
102,6578
7261,7592
6722,2588
15748,4614
7800,11253
1892,927
12690,11275
2576,7975
13794,8329
2980,12000
4088,12960
8758,4540
7080,9651
16403,9389
4700,11272
3294,1021
1193,2057
11535,2740
11404,6229
10631,9689
1288,6266
12674,15064
8600,13938
4784,7186
13535,117
11225,7395
5652,12069
1519,15998
7816,15519
1648,6020
4118,12960
10059,16818
11609,5291
13734,9567
7569,10165
12968,11754
6588,4062
1622,12154
14507,8736
7919,2061
15760,15712
16140,8763
6064,12171
14164,15163
7170,10052
1242,12283
6471,7799
15843,8018
13704,15178
1024,2032
4631,10862
15930,6674
13793,883
1291,8011
14462,5179
12411,1606
8364,6999
16034,15133
5716,5422
2666,647
7159,6860
5237,5195
13717,14070
2869,1915
12791,14844
1554,14248
4594,15117
10205,14899
16711,1008
10794,11507
2869,9270
7107,7609
10467,4696
16096,13917
5361,13717
10475,7031
8560,121
2329,11211
15431,12746
12728,2602
12024,12837
6477,4180
4350,14383
1389,3419
12688,3203
12811,10184
8021,8888
249,3675
4672,13091
12372,3906
13259,12037
9236,15572
482,11790
9360,5250
16837,15241
16204,4186
3690,12243
12386,3023
2508,4918
8385,13487
12695,10948
8244,5900
1998,11986
5520,14127
8911,8807
4718,6269
7562,9478
10561,9592
11058,10398
9719,8751
9333,13411
2057,2952
15128,2922
246,14115
13895,15257
375,7355
14652,2404
732,14008
5317,15838
15074,15868
7908,14437
13111,7978
12748,1510
8240,10480
14447,13491
9693,7688
6178,4274
1548,1735
10913,6637
10030,4829
4875,2846
3230,715
7904,13914
8018,4402
14327,2994
9098,7478
16851,4535
2101,10929
16614,14391
145,1766
14088,8081
4231,3683
8078,6338
14315,4862
16331,11824
4736,11520
14659,2420
8423,9002
8606,1539
4041,3559
9964,6811
14582,8589
5621,13374
2144,10252
5840,3878
14629,15760
1364,6879
5925,8123
434,12607
15680,11490
8144,8274
284,13602
3121,15832
12663,11736
8577,959
2822,15950
5964,8236
12361,8927
3068,12973
11038,3841
7187,6702
9255,7438
13152,5484
13633,16145
5450,11398
5493,9782
15414,2861
